fiscal_year,state,age_group,category,gender,value,unit,note
2017-18,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,122,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,69,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,156,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,121,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,2,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of New EPF Subscribers during the year,Transgender,1565,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,335,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,277,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,182,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,390,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,16,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,13,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,52,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,12,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,16,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,4,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,13,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,7,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of members that ceased subscribing during the year,Transgender,563,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,93,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,122,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,93,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of members that ceased subscribing during the year,Transgender,563,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,7,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,7,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of exited members who rejoined and resubscribed,Transgender,0,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of members that ceased subscribing during the year,Transgender,563,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,93,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,122,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,69,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,156,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,121,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,2,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of New EPF Subscribers during the year,Transgender,1565,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,335,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,277,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,182,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,390,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,365,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,16,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,52,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,12,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,16,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,4,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,13,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,390,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,277,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Not Available,28,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of New EPF Subscribers during the year,Transgender,182,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of members that ceased subscribing during the year,Transgender,563,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of members that ceased subscribing during the year,Transgender,93,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of members that ceased subscribing during the year,Transgender,122,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of members that ceased subscribing during the year,Transgender,69,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of members that ceased subscribing during the year,Transgender,156,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of members that ceased subscribing during the year,Transgender,121,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of members that ceased subscribing during the year,Transgender,2,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of New EPF Subscribers during the year,Transgender,1565,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of New EPF Subscribers during the year,Transgender,335,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of New EPF Subscribers during the year,Transgender,277,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of New EPF Subscribers during the year,Transgender,390,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,7,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of New EPF Subscribers during the year,Transgender,365,value in Absolute Number,from Sep-17
2017-18,All India,Less than 18 years,Number of New EPF Subscribers during the year,Transgender,16,value in Absolute Number,from Sep-17
2017-18,All India,Total,Number of exited members who rejoined and resubscribed,Transgender,52,value in Absolute Number,from Sep-17
2017-18,All India,More than 35 years,Number of exited members who rejoined and resubscribed,Transgender,12,value in Absolute Number,from Sep-17
2017-18,All India,29 to 35 years,Number of exited members who rejoined and resubscribed,Transgender,16,value in Absolute Number,from Sep-17
2017-18,All India,26 to 28 years,Number of exited members who rejoined and resubscribed,Transgender,4,value in Absolute Number,from Sep-17
2017-18,All India,22 to 25 years,Number of exited members who rejoined and resubscribed,Transgender,13,value in Absolute Number,from Sep-17
2017-18,All India,18 to 21 years,Number of exited members who rejoined and resubscribed,Transgender,7,value in Absolute Number,from Sep-17
